m,x,q
1117,8936,8
1117,13404,12
1118,44720,40
1118,53664,48
1119,26856,24
1120,141120,126
1121,40356,36
1122,71808,64
1122,134640,120
1123,8984,8
1123,13476,12
1124,22480,20
1124,26976,24
1125,67500,60
1125,108000,96
1126,20268,18
1127,81144,72
1128,54144,48
1128,63168,56
1129,9032,8
1129,13548,12
1130,54240,48
1131,90480,80
1132,22640,20
1132,27168,24
1133,40788,36
1134,136080,120
1135,40860,36
1136,31808,28
1137,27288,24
1138,20484,18
1139,41004,36
1140,109440,96
1140,127680,112
1141,41076,36
1142,20556,18
1144,64064,56
1145,41220,36
1146,45840,40
1147,41292,36
1148,36736,32
1148,82656,72
1149,27576,24
1150,46000,40
1151,9208,8
1151,13812,12
1152,55296,48
1152,62208,54
1152,103680,90
1153,9224,8
1153,13836,12
1154,20772,18
1155,147840,128
1156,69360,60
1157,41652,36
1158,46320,40
1159,41724,36
1160,64960,56
1160,104400,90
1161,41796,36
1161,69660,60
1161,92880,80
1162,46480,40
1162,55776,48
1163,9304,8
1163,13956,12
1164,37248,32
1164,69840,60
1165,41940,36
1166,46640,40
1166,55968,48
1167,28008,24
1168,32704,28
1169,42084,36
1170,105300,90
1170,140400,120
1171,9368,8
1171,14052,12
1172,23440,20
1172,28128,24
1173,93840,80
1174,21132,18
1175,84600,72
1176,65856,56
1177,42372,36
1178,47120,40
1178,56544,48
1180,37760,32
1180,70800,60
1180,84960,72
1181,9448,8
1181,14172,12
1182,47280,40
1183,85176,72
1186,21348,18
1187,9496,8
1187,14244,12
1188,85536,72
1188,133056,112
1188,142560,120
1189,42804,36
1190,76160,64
1190,142800,120
1190,171360,144
1191,28584,24
1192,19072,16
1192,42912,36
1193,9544,8
1193,14316,12
1194,47760,40
1195,43020,36
1196,38272,32
1196,86112,72
1197,114912,96
1198,21564,18
1199,43164,36
1200,90000,75
1201,9608,8
1201,14412,12
1202,21636,18
1203,28872,24
1204,38528,32
1204,86688,72
1205,43380,36
1206,57888,48
1207,43452,36
1208,19328,16
1208,43488,36
1209,96720,80
1211,43596,36
1212,38784,32
1212,72720,60
1213,9704,8
1213,14556,12
1214,21852,18
1215,102060,84
1216,48640,40
1217,9736,8
1217,14604,12
1218,77952,64
1218,146160,120
1219,43884,36
1220,39040,32
1220,73200,60
1220,87840,72
1221,97680,80
1222,48880,40
1222,58656,48
1223,9784,8
1223,14676,12
1225,132300,108
1226,22068,18
1227,29448,24
1228,24560,20
1228,29472,24
1229,9832,8
1229,14748,12
1230,78720,64
1231,9848,8
1231,14772,12
1232,103488,84
1234,22212,18
1235,118560,96
1236,39552,32
1236,74160,60
1237,9896,8
1237,14844,12
1238,22284,18
1239,99120,80
1240,69440,56
1240,111600,90
1241,44676,36
1242,79488,64
1243,44748,36
1244,24880,20
1244,29856,24
1246,49840,40
1246,59808,48
1247,44892,36
1248,89856,72
1248,99840,80
1249,9992,8
1249,14988,12
1252,25040,20
1252,30048,24
1253,45108,36
1254,80256,64
1254,150480,120
1255,45180,36
1256,20096,16
1256,45216,36
1257,30168,24
1258,50320,40
1258,60384,48
1259,10072,8
1259,15108,12
1261,45396,36
1262,22716,18
1263,30312,24
1264,35392,28
1265,121440,96
1266,50640,40
1267,45612,36
1268,25360,20
1268,30432,24
1269,45684,36
1269,76140,60
1269,101520,80
1270,60960,48
1271,45756,36
1272,61056,48
1272,71232,56
1273,45828,36
1274,152880,120
1275,102000,80
1276,40832,32
1276,91872,72
1277,10216,8
1277,15324,12
1278,61344,48
1279,10232,8
1279,15348,12
1280,56320,44
1280,92160,72
1280,115200,90
1281,102480,80
1282,23076,18
1283,10264,8
1283,15396,12
1284,41088,32
1284,77040,60
1285,46260,36
1286,23148,18
1287,123552,96
1289,10312,8
1289,15468,12
1290,82560,64
1291,10328,8
1291,15492,12
1292,41344,32
1292,93024,72
1293,31032,24
1294,23292,18
1295,124320,96
1296,108864,84
1296,181440,140
1297,10376,8
1297,15564,12
1298,51920,40
1298,62304,48
1299,31176,24
1300,124800,96
1301,10408,8
1301,15612,12
1302,83328,64
1302,156240,120
1303,10424,8
1303,15636,12
1304,20864,16
1304,46944,36
1305,125280,96
1306,23508,18
1307,10456,8
1307,15684,12
1308,41856,32
1308,78480,60
1309,104720,80
1309,125664,96
1310,62880,48
1311,104880,80
1313,47268,36
1314,63072,48
1315,47340,36
1316,42112,32
1316,94752,72
1317,31608,24
1318,23724,18
1319,10552,8
1319,15828,12
1320,221760,168
1321,10568,8
1321,15852,12
1322,23796,18
1323,95256,72
1323,158760,120
1324,26480,20
1324,31776,24
1325,95400,72
1326,84864,64
1326,159120,120
1327,10616,8
1327,15924,12
1328,37184,28
1329,31896,24
1330,85120,64
1330,159600,120
1330,191520,144
1331,47916,36
1333,47988,36
1334,53360,40
1334,64032,48
1336,21376,16
1336,48096,36
1337,48132,36
1338,53520,40
1339,48204,36
1340,42880,32
1340,80400,60
1340,96480,72
1342,53680,40
1342,64416,48
1343,48348,36
1344,161280,120
1345,48420,36
1346,24228,18
1347,32328,24
1348,26960,20
1348,32352,24
1349,48564,36
1351,48636,36
1352,64896,48
1352,121680,90
1353,108240,80
1354,24372,18
1355,48780,36
1356,43392,32
1356,81360,60
1357,48852,36
1358,54320,40
1358,65184,48
1361,10888,8
1361,16332,12
1362,54480,40
1363,49068,36
1364,43648,32
1364,98208,72
1365,174720,128
1366,24588,18
1367,10936,8
1367,16404,12
1369,12321,9
1369,24642,18
1369,32856,24
1370,65760,48
1371,32904,24
1372,43904,32
1372,98784,72
1373,10984,8
1373,16476,12
1374,54960,40
1375,55000,40
1375,82500,60
1375,132000,96
1378,55120,40
1378,66144,48
1379,49644,36
1380,132480,96
1380,154560,112
1381,11048,8
1381,16572,12
1382,24876,18
1383,33192,24
1384,22144,16
1384,49824,36
1385,49860,36
1387,49932,36
1388,27760,20
1388,33312,24
1389,33336,24
1390,66720,48
1391,50076,36
1392,116928,84
1393,50148,36
1394,55760,40
1394,66912,48
1395,133920,96
1396,27920,20
1396,33504,24
1397,50292,36
1398,55920,40
1399,11192,8
1399,16788,12
1400,70000,50
1400,201600,144
1401,33624,24
1402,25236,18
1403,50508,36
1404,101088,72
1404,157248,112
1404,168480,120
1405,50580,36
1406,56240,40
1406,67488,48
1407,112560,80
1408,67584,48
1409,11272,8
1409,16908,12
1410,90240,64
1411,50796,36
1412,28240,20
1412,33888,24
1414,56560,40
1414,67872,48
1415,50940,36
1416,67968,48
1416,79296,56
1417,51012,36
1418,25524,18
1419,113520,80
1420,45440,32
1420,85200,60
1420,102240,72
1421,102312,72
1422,68256,48
1423,11384,8
1423,17076,12
1424,39872,28
1425,114000,80
1426,57040,40
1426,68448,48
1427,11416,8
1427,17124,12
1428,137088,96
1429,11432,8
1429,17148,12
1430,91520,64
1430,171600,120
1430,205920,144
1431,51516,36
1431,85860,60
1431,114480,80
1432,22912,16
1432,51552,36
1433,11464,8
1433,17196,12
1434,57360,40
1435,137760,96
1436,28720,20
1436,34464,24
1437,34488,24
1438,25884,18
1439,11512,8
1439,17268,12
1441,51876,36
1442,57680,40
1442,69216,48
1443,115440,80
1444,86640,60
1445,104040,72
1446,57840,40
1447,11576,8
1447,17364,12
1448,23168,16
1448,52128,36
1449,139104,96
1450,58000,40
1451,11608,8
1451,17412,12
1452,104544,72
1453,11624,8
1453,17436,12
1454,26172,18
1456,122304,84
1457,52452,36
1458,52488,36
1458,69984,48
1459,11672,8
1459,17508,12
1460,46720,32
1460,87600,60
1460,105120,72
1461,35064,24
1462,58480,40
1462,70176,48
1463,117040,80
1463,140448,96
1464,70272,48
1464,81984,56
1465,52740,36
1466,26388,18
1468,29360,20
1468,35232,24
1469,52884,36
1470,211680,144
1471,11768,8
1471,17652,12
1472,58880,40
1473,35352,24
1474,58960,40
1474,70752,48
1475,106200,72
1477,53172,36
1478,26604,18
1479,118320,80
1480,82880,56
1480,133200,90
1481,11848,8
1481,17772,12
1482,94848,64
1482,177840,120
1483,11864,8
1483,17796,12
1484,47488,32
1484,106848,72
1485,178200,120
1485,190080,128
1486,26748,18
1487,11896,8
1487,17844,12
1488,124992,84
1489,11912,8
1489,17868,12
1490,71520,48
1491,119280,80
1492,29840,20
1492,35808,24
1493,11944,8
1493,17916,12
1494,71712,48
1495,143520,96
1496,83776,56
1497,35928,24
1498,59920,40
1498,71904,48
1499,11992,8
1499,17988,12
1500,144000,96
1500,168000,112
1501,54036,36
1502,27036,18
1505,144480,96
1506,60240,40
1507,54252,36
1508,48256,32
1508,108576,72
1509,36216,24
1510,72480,48
1511,12088,8
1511,18132,12
1512,226800,150
1513,54468,36
1514,27252,18
1516,30320,20
1516,36384,24
1517,54612,36
1518,97152,64
1518,182160,120
1519,109368,72
1522,27396,18
1523,12184,8
1523,18276,12
1524,48768,32
1524,91440,60
1525,109800,72
1526,61040,40
1526,73248,48
1527,36648,24
1528,24448,16
1528,55008,36
1529,55044,36
1530,137700,90
1530,183600,120
1531,12248,8
1531,18372,12
1532,30640,20
1532,36768,24
1533,122640,80
1534,61360,40
1534,73632,48
1535,55260,36
1536,101376,66
1537,55332,36
1538,27684,18
1540,277200,180
1541,55476,36
1542,61680,40
1543,12344,8
1543,18516,12
1544,24704,16
1544,55584,36
1546,27828,18
1547,123760,80
1547,148512,96
1549,12392,8
1549,18588,12
1550,62000,40
1551,124080,80
1552,43456,28
1553,12424,8
1553,18636,12
1554,99456,64
1554,186480,120
1555,55980,36
1556,31120,20
1556,37344,24
1558,62320,40
1558,74784,48
1559,12472,8
1559,18708,12
1560,262080,168
1561,56196,36
1562,62480,40
1562,74976,48
1563,37512,24
1564,50048,32
1564,112608,72
1565,56340,36
1566,100224,64
1567,12536,8
1567,18804,12
1569,37656,24
1570,75360,48
1571,12568,8
1571,18852,12
1572,50304,32
1572,94320,60
1573,113256,72
1574,28332,18
1575,170100,108
1576,25216,16
1576,56736,36
1577,56772,36
1578,63120,40
1579,12632,8
1579,18948,12
1580,50560,32
1580,94800,60
1580,113760,72
1581,126480,80
1582,63280,40
1582,75936,48
1583,12664,8
1583,18996,12
1585,57060,36
1586,63440,40
1586,76128,48
1587,57132,36
1588,31760,20
1588,38112,24
1589,57204,36
1590,101760,64
1591,57276,36
1592,25472,16
1592,57312,36
1593,57348,36
1593,95580,60
1593,127440,80
1594,28692,18
1595,153120,96
1596,153216,96
1597,12776,8
1597,19164,12
1598,63920,40
1598,76704,48
1599,127920,80
1600,64000,40
1600,172800,108
1601,12808,8
1601,19212,12
1602,76896,48
1603,57708,36
1604,32080,20
1604,38496,24
1606,64240,40
1606,77088,48
1607,12856,8
1607,19284,12
1608,77184,48
1608,90048,56
1609,12872,8
1609,19308,12
1610,103040,64
1610,193200,120
1610,231840,144
1612,51584,32
1612,116064,72
1613,12904,8
1613,19356,12
1614,64560,40
1615,155040,96
1616,45248,28
1618,29124,18
1619,12952,8
1619,19428,12
1620,155520,96
1620,162000,100
1621,12968,8
1621,19452,12
1622,29196,18
1623,38952,24
1625,65000,40
1625,97500,60
1625,156000,96
1626,65040,40
1627,13016,8
1627,19524,12
1628,52096,32
1628,117216,72
1630,78240,48
1631,58716,36
1632,117504,72
1632,130560,80
1633,58788,36
1634,65360,40
1634,78432,48
1636,32720,20
1636,39264,24
1637,13096,8
1637,19644,12
1639,59004,36
1640,91840,56
1640,147600,90
1641,39384,24
1642,29556,18
1643,59148,36
1644,52608,32
1644,98640,60
1645,157920,96
1646,29628,18
1647,59292,36
1647,98820,60
1647,131760,80
1648,46144,28
1649,59364,36
1650,198000,120
1650,237600,144
1651,59436,36
1652,52864,32
1652,118944,72
1653,132240,80
1654,29772,18
1655,59580,36
1657,13256,8
1657,19884,12
1658,29844,18
1659,132720,80
1660,53120,32
1660,99600,60
1660,119520,72
1661,59796,36
1662,66480,40
1663,13304,8
1663,19956,12
1664,79872,48
1665,159840,96
1666,199920,120
1667,13336,8
1667,20004,12
1668,53376,32
1668,100080,60
1669,13352,8
1669,20028,12
1670,80160,48
1671,40104,24
1672,93632,56
1673,60228,36
1674,107136,64
1675,120600,72
1676,33520,20
1676,40224,24
1677,134160,80
1678,30204,18
1679,60444,36
1680,241920,144
1681,15129,9
1681,30258,18
1681,40344,24
1682,60552,36
1683,161568,96
1684,33680,20
1684,40416,24
1685,60660,36
1686,67440,40
1687,60732,36
1688,27008,16
1688,60768,36
1689,40536,24
1691,60876,36
1693,13544,8
1693,20316,12
1694,203280,120
1697,13576,8
1697,20364,12
1698,67920,40
1699,13592,8
1699,20388,12
1700,163200,96
1701,35721,21
1701,71442,42
1702,68080,40
1702,81696,48
1703,61308,36
1704,81792,48
1704,95424,56
1705,163680,96
1706,30708,18
1707,40968,24
1708,54656,32
1708,122976,72
1709,13672,8
1709,20508,12
1710,153900,90
1710,205200,120
1711,61596,36
1712,47936,28
1713,41112,24
1714,30852,18
1715,164640,96
1716,164736,96
1716,192192,112
1717,61812,36
1718,30924,18
1720,96320,56
1720,154800,90
1721,13768,8
1721,20652,12
1722,110208,64
1722,206640,120
1723,13784,8
1723,20676,12
1724,34480,20
1724,41376,24
1725,138000,80
1726,31068,18
1727,62172,36
1729,138320,80
1729,165984,96
1730,83040,48
1731,41544,24
1732,34640,20
1732,41568,24
1733,13864,8
1733,20796,12
1735,62460,36
1738,69520,40
1738,83424,48
1739,62604,36
1740,167040,96
1740,194880,112
1741,13928,8
1741,20892,12
1742,69680,40
1742,83616,48
1743,139440,80
1744,48832,28
1745,62820,36
1746,83808,48
1747,13976,8
1747,20964,12
1748,55936,32
1748,125856,72
1749,139920,80
1750,112000,64
1750,157500,90
1750,252000,144
1751,63036,36
1752,84096,48
1752,98112,56
1753,14024,8
1753,21036,12
1754,31572,18
1755,210600,120
1755,224640,128
1756,35120,20
1756,42144,24
1757,63252,36
1758,70320,40
1759,14072,8
1759,21108,12
1761,42264,24
1762,31716,18
1763,63468,36
1764,169344,96
1765,63540,36
1766,31788,18
1767,141360,80
1768,99008,56
1769,63684,36
1770,113280,64
1771,141680,80
1771,170016,96
1772,35440,20
1772,42528,24
1774,31932,18
1775,127800,72
1776,149184,84
1777,14216,8
1777,21324,12
1778,71120,40
1778,85344,48
1779,42696,24
1780,56960,32
1780,106800,60
1780,128160,72
1781,64116,36
1782,213840,120
1783,14264,8
1783,21396,12
1784,28544,16
1784,64224,36
1785,228480,128
1786,71440,40
1786,85728,48
1787,14296,8
1787,21444,12
1788,57216,32
1788,107280,60
1789,14312,8
1789,21468,12
1790,85920,48
1792,78848,44
1792,129024,72
1793,64548,36
1794,114816,64
1794,215280,120
1795,64620,36
1796,35920,20
1796,43104,24
1797,43128,24
1798,71920,40
1798,86304,48
1799,64764,36
1800,194400,108
1801,14408,8
1801,21612,12
1802,72080,40
1802,86496,48
1803,43272,24
1804,57728,32
1804,129888,72
1805,129960,72
1806,115584,64
1806,216720,120
1807,65052,36
1808,50624,28
1809,65124,36
1809,108540,60
1809,144720,80
1810,86880,48
1811,14488,8
1811,21732,12
1812,57984,32
1812,108720,60
1813,130536,72
1814,32652,18
1816,29056,16
1816,65376,36
1817,65412,36
1818,87264,48
1819,65484,36
1821,43704,24
1822,32796,18
1823,14584,8
1823,21876,12
1824,131328,72
1824,145920,80
1825,131400,72
1826,73040,40
1826,87648,48
1827,175392,96
1828,36560,20
1828,43872,24
1829,65844,36
1830,117120,64
1831,14648,8
1831,21972,12
1832,29312,16
1832,65952,36
1833,146640,80
1834,73360,40
1834,88032,48
1835,66060,36
1836,132192,72
1836,205632,112
1836,220320,120
1837,66132,36
1838,33084,18
1839,44136,24
1841,66276,36
1842,73680,40
1843,66348,36
1844,36880,20
1844,44256,24
1845,177120,96
1846,73840,40
1846,88608,48
1847,14776,8
1847,22164,12
1849,16641,9
1849,33282,18
1849,44376,24
1850,74000,40
1851,44424,24
1852,37040,20
1852,44448,24
1853,66708,36
1854,88992,48
1855,178080,96
1856,74240,40
1857,44568,24
1858,33444,18
1859,133848,72
1860,178560,96
1860,208320,112
1861,14888,8
1861,22332,12
1862,223440,120
1864,29824,16
1864,67104,36
1865,67140,36
1866,74640,40
1867,14936,8
1867,22404,12
1868,37360,20
1868,44832,24
1869,149520,80
1870,119680,64
1870,224400,120
1870,269280,144
1871,14968,8
1871,22452,12
1873,14984,8
1873,22476,12
1874,33732,18
1876,60032,32
1876,135072,72
1877,15016,8
1877,22524,12
1878,75120,40
1879,15032,8
1879,22548,12
1880,105280,56
1880,169200,90
1881,180576,96
1882,33876,18
1883,67788,36
1884,60288,32
1884,113040,60
1885,180960,96
1886,75440,40
1886,90528,48
1887,150960,80
1889,15112,8
1889,22668,12
1890,272160,144
1891,68076,36
1892,60544,32
1892,136224,72
1893,45432,24
1894,34092,18
1895,68220,36
1896,91008,48
1896,106176,56
1897,68292,36
1898,75920,40
1898,91104,48
1900,182400,96
1901,15208,8
1901,22812,12
1902,76080,40
1903,68508,36
1904,159936,84
1906,34308,18
1907,15256,8
1907,22884,12
1909,68724,36
1910,91680,48
1912,30592,16
1912,68832,36
1913,15304,8
1913,22956,12
1914,122496,64
1914,229680,120
1915,68940,36
1916,38320,20
1916,45984,24
1917,69012,36
1917,115020,60
1917,153360,80
1918,76720,40
1918,92064,48
1919,69084,36
1920,168960,88
1921,69156,36
1922,69192,36
1923,46152,24
1924,61568,32
1924,138528,72
1925,154000,80
1926,92448,48
1927,69372,36
1928,30848,16
1928,69408,36
1929,46296,24
1930,92640,48
1931,15448,8
1931,23172,12
1932,185472,96
1933,15464,8
1933,23196,12
1934,34812,18
1935,185760,96
1936,139392,72
1936,162624,84
1937,69732,36
1938,124032,64
1938,232560,120
1939,69804,36
1940,62080,32
1940,116400,60
1940,139680,72
1941,46584,24
1942,34956,18
1943,69948,36
1944,163296,84
1945,70020,36
1946,77840,40
1946,93408,48
1947,155760,80
1948,38960,20
1948,46752,24
1949,15592,8
1949,23388,12
1950,234000,120
1951,15608,8
1951,23412,12
1953,187488,96
1954,35172,18
1955,187680,96
1956,62592,32
1956,117360,60
1957,70452,36
1958,78320,40
1958,93984,48
1959,47016,24
1960,109760,56
1961,70596,36
1962,94176,48
1963,70668,36
1964,39280,20
1964,47136,24
1966,35388,18
1967,70812,36
1968,165312,84
1969,70884,36
1970,94560,48
1971,70956,36
1971,118260,60
1971,157680,80
1972,63104,32
1972,141984,72
1973,15784,8
1973,23676,12
1974,126336,64
1974,236880,120
1975,142200,72
1976,110656,56
1977,47448,24
1978,79120,40
1978,94944,48
1979,15832,8
1979,23748,12
1981,71316,36
1982,35676,18
1983,47592,24
1984,79360,40
1985,71460,36
1986,79440,40
1987,15896,8
1987,23844,12
1988,63616,32
1988,143136,72
1989,190944,96
1990,95520,48
1991,71676,36
1992,95616,48
1992,111552,56
1993,15944,8
1993,23916,12
1994,35892,18
1995,255360,128
1996,39920,20
1996,47904,24
1997,15976,8
1997,23964,12
1998,127872,64
1999,15992,8
1999,23988,12
2000,80000,40
2000,180000,90
2001,160080,80
2002,128128,64
2003,16024,8
2003,24036,12
2004,64128,32
2004,120240,60
2005,72180,36
2006,80240,40
2006,96288,48
2008,32128,16
2008,72288,36
2009,144648,72
2010,128640,64
2011,16088,8
2011,24132,12
2012,40240,20
2012,48288,24
2013,161040,80
2014,80560,40
2014,96672,48
2015,193440,96
2017,16136,8
2017,24204,12
2018,36324,18
2019,48456,24
2020,64640,32
2020,121200,60
2020,145440,72
2021,72756,36
2022,80880,40
2023,145656,72
2024,113344,56
2025,50625,25
2025,101250,50
2026,36468,18
2027,16216,8
2027,24324,12
2028,146016,72
2029,16232,8
2029,24348,12
2030,129920,64
2030,243600,120
2031,48744,24
2032,56896,28
2033,73188,36
2034,97632,48
2035,195360,96
2036,40720,20
2036,48864,24
2037,162960,80
2038,36684,18
2039,16312,8
2039,24468,12
2041,73476,36
2042,36756,18
2044,65408,32
2044,147168,72
2045,73620,36
2046,130944,64
2046,245520,120
2047,73692,36
2048,32768,16
2048,53248,26
2048,57344,28
2049,49176,24
2050,82000,40
2051,73836,36
2052,147744,72
2052,229824,112
2052,246240,120
2053,16424,8
2053,24636,12
2054,82160,40
2054,98592,48
2056,32896,16
2056,74016,36
2057,148104,72
2058,131712,64
2058,246960,120
2059,74124,36
2060,65920,32
2060,123600,60
2060,148320,72
2062,37116,18
2063,16504,8
2063,24756,12
2064,173376,84
2065,198240,96
2066,37188,18
2067,165360,80
2068,66176,32
2068,148896,72
2069,16552,8
2069,24828,12
2070,186300,90
2070,248400,120
2071,74556,36
2073,49752,24
2074,82960,40
2074,99552,48
2075,149400,72
2076,66432,32
2076,124560,60
2077,74772,36
2078,37404,18
2079,266112,128
2081,16648,8
2081,24972,12
2082,83280,40
2083,16664,8
2083,24996,12
2084,41680,20
2084,50016,24
2086,83440,40
2086,100128,48
2087,16696,8
2087,25044,12
2089,16712,8
2089,25068,12
2090,133760,64
2090,250800,120
2091,167280,80
2092,41840,20
2092,50208,24
2093,167440,80
2093,200928,96
2094,83760,40
2095,75420,36
2096,58688,28
2098,37764,18
2099,16792,8
2099,25188,12
2100,210000,100
